k,i,j,count
36,2,25,1252080
36,2,26,332903
36,2,27,85051
36,2,28,2799176
36,2,29,1317484
36,2,30,586716
36,2,31,241620
36,2,32,93152
36,2,33,33651
36,2,34,223552
36,2,35,50146
36,3,0,27511
36,3,1,5893
36,3,2,6998309
36,3,3,2237692
36,3,4,695855
36,3,5,209052
36,3,6,64303
36,3,7,22350
36,3,8,23543
36,3,9,10835
36,3,10,7540
36,3,11,5604
36,3,12,656615
36,3,13,159237
36,3,14,37509
36,3,15,3166149
36,3,16,3327310
36,3,17,1141322
36,3,18,384440
36,3,19,128933
36,3,20,42942
36,3,21,99773
36,3,22,22380
36,3,23,4916
36,3,24,999
36,3,25,2760317
36,3,26,749907
36,3,27,195988
36,3,28,48840
36,3,29,2250341
36,3,30,1023856
36,3,31,437140
36,3,32,173903
36,3,33,64672
36,3,34,535067
36,3,35,124856
36,4,0,69116
36,4,1,15037
36,4,2,3169
36,4,3,4570123
36,4,4,1441652
36,4,5,440945
36,4,6,129567
36,4,7,43888
36,4,8,50832
36,4,9,18653
36,4,10,11168
36,4,11,8108
36,4,12,1528767
36,4,13,378522
36,4,14,90663
36,4,15,21175
36,4,16,6487928
36,4,17,2249792
36,4,18,764735
36,4,19,257145
36,4,20,85985
36,4,21,28333
36,4,22,55613
36,4,23,12310
36,4,24,2571
36,4,25,547
36,4,26,1669905
36,4,27,445835
36,4,28,114144
36,4,29,2592647
36,4,30,1771771
36,4,31,781135
36,4,32,319532
36,4,33,122513
36,4,34,44117
36,4,35,305746
36,5,0,171031
36,5,1,38023
36,5,2,8141
36,5,3,5088189
36,5,4,2964822
36,5,5,921555
36,5,6,276597
36,5,7,84776
36,5,8,33454
36,5,9,35716
36,5,10,17357
36,5,11,11817
36,5,12,8358
36,5,13,888502
36,5,14,216988
36,5,15,51392
36,5,16,11722
36,5,17,4414043
36,5,18,1515097
36,5,19,512331
36,5,20,171744
36,5,21,57095
36,5,22,137632
36,5,23,30727
36,5,24,6681
36,5,25,1384
36,5,26,3676254
36,5,27,1002606
36,5,28,262730
36,5,29,65849
36,5,30,3039255
36,5,31,1366761
36,5,32,579991
36,5,33,229031
36,5,34,84880
36,5,35,29645
36,6,0,418012
36,6,1,94853
36,6,2,20847
36,6,3,4353
36,6,4,6058175
36,6,5,1909518
36,6,6,583941
36,6,7,171732
36,6,8,63048
36,6,9,29751
36,6,10,29275
36,6,11,17594
36,6,12,12289
36,6,13,28934
36,6,14,513285
36,6,15,123595
36,6,16,28846
36,6,17,7718668
36,6,18,2985193
36,6,19,1017641
36,6,20,342549
36,6,21,114468
36,6,22,37677
36,6,23,76558
36,6,24,16955
36,6,25,3593
36,6,26,748
36,6,27,2228468
36,6,28,596481
36,6,29,153669
36,6,30,37766
36,6,31,2379906
36,6,32,1040197
36,6,33,422615
36,6,34,161207
36,6,35,57949
36,7,0,38870
36,7,1,234188
36,7,2,52491
36,7,3,11351
36,7,4,2360
36,7,5,3929183
36,7,6,1220341
36,7,7,366435
36,7,8,105293
36,7,9,50823
36,7,10,54470
36,7,11,27447
36,7,12,18174
36,7,13,12259
36,7,14,1200856
36,7,15,294498
36,7,16,69910
36,7,17,16010
36,7,18,5852295
36,7,19,2011507
36,7,20,681465
36,7,21,228547
36,7,22,75801
36,7,23,24930
36,7,24,42563
36,7,25,9261
36,7,26,1932
36,7,27,4119959
36,7,28,1338863
36,7,29,352823
36,7,30,88913
36,7,31,4100829
36,7,32,1825634
36,7,33,769350
36,7,34,302039
36,7,35,111857
36,8,0,76277
36,8,1,76878
36,8,2,130590
36,8,3,28875
36,8,4,6142
36,8,5,7700387
36,8,6,2529345
36,8,7,772664
36,8,8,227628
36,8,9,92176
36,8,10,47131
36,8,11,45711
36,8,12,27303
36,8,13,18338
36,8,14,11727
36,8,15,694610
36,8,16,168238
36,8,17,39378
36,8,18,8897
36,8,19,3961798
36,8,20,1353002
36,8,21,455916
36,8,22,151933
36,8,23,50280
36,8,24,105631
36,8,25,23367
36,8,26,5064
36,8,27,1022
36,8,28,2970563
36,8,29,799257
36,8,30,206196
36,8,31,51156
36,8,32,3192451
36,8,33,1373612
36,8,34,558606
36,8,35,212588
36,9,0,147201
36,9,1,51186
36,9,2,321170
36,9,3,72463
36,9,4,15792
36,9,5,3260
36,9,6,5206825
36,9,7,1615653
36,9,8,485255
36,9,9,139351
36,9,10,77985
36,9,11,48629
36,9,12,42547
36,9,13,27441
36,9,14,17827
36,9,15,1566879
36,9,16,400287
36,9,17,95496
36,9,18,22076
36,9,19,7762073
36,9,20,2672683
36,9,21,907249
36,9,22,303910
36,9,23,101020
36,9,24,33063
36,9,25,58593
36,9,26,12854
36,9,27,2732
36,9,28,516
36,9,29,1789300
36,9,30,472576
36,9,31,119909
36,9,32,29245
36,9,33,2437495
36,9,34,1020007
36,9,35,398831
36,10,0,280137
36,10,1,100247
36,10,2,33932
36,10,3,179472
36,10,4,39785
36,10,5,8550
36,10,6,1763
36,10,7,3352144
36,10,8,1024389
36,10,9,300681
36,10,10,86310
36,10,11,74628
36,10,12,70120
36,10,13,41632
36,10,14,26958
36,10,15,16596
36,10,16,941528
36,10,17,228730
36,10,18,53866
36,10,19,12184
36,10,20,5259542
36,10,21,1797605
36,10,22,606508
36,10,23,202342
36,10,24,66695
36,10,25,79686
36,10,26,32430
36,10,27,7046
36,10,28,1442
36,10,29,3866502
36,10,30,1069451
36,10,31,277526
36,10,32,69408
36,10,33,4278137
36,10,34,1826279
36,10,35,738566
36,11,0,526339
36,11,1,193664
36,11,2,67407
36,11,3,432444
36,11,4,99459
36,11,5,21855
36,11,6,4596
36,11,7,6900152
36,11,8,2141309
36,11,9,642219
36,11,10,184783
36,11,11,120050
36,11,12,76868
36,11,13,64957
36,11,14,40820
36,11,15,25635
36,11,16,14820
36,11,17,542706
36,11,18,130048
36,11,19,30226
36,11,20,6612
36,11,21,3551806
36,11,22,1206197
36,11,23,404168
36,11,24,134162
36,11,25,43626
36,11,26,81139
36,11,27,17801
36,11,28,3800
36,11,29,752
36,11,30,2390971
36,11,31,633842
36,11,32,161691
36,11,33,39542
36,11,34,3251747
36,11,35,1344076
36,12,0,976951
36,12,1,369398
36,12,2,131916
36,12,3,44707
36,12,4,245786
36,12,5,55089
36,12,6,11854
36,12,7,2501
36,12,8,4441116
36,12,9,1356323
36,12,10,398946
36,12,11,111955
36,12,12,116792
36,12,13,101264
36,12,14,62481
36,12,15,39207
36,12,16,23349
36,12,17,1273086
36,12,18,310986
36,12,19,73610
36,12,20,16650
36,12,21,6985195
36,12,22,2389123
36,12,23,806102
36,12,24,268961
36,12,25,88404
36,12,26,28439
36,12,27,44708
36,12,28,9764
36,12,29,2006
36,12,30,385
36,12,31,1430694
36,12,32,372828
36,12,33,93609
36,12,34,3013028
36,12,35,2427859
36,13,0,1782211
36,13,1,695295
36,13,2,255131
36,13,3,88813
36,13,4,29427
36,13,5,136920
36,13,6,30293
36,13,7,6471
36,13,8,810858
36,13,9,2836827
36,13,10,850989
36,13,11,244943
36,13,12,139675
36,13,13,120155
36,13,14,98032
36,13,15,59920
36,13,16,36380
36,13,17,20479
36,13,18,734694
36,13,19,177564
36,13,20,41135
36,13,21,9046
36,13,22,4717746
36,13,23,1601893
36,13,24,537569
36,13,25,177862
36,13,26,57890
36,13,27,110647
36,13,28,24734
36,13,29,5259
36,13,30,1081
36,13,31,3191856
36,13,32,849673
36,13,33,217990
36,13,34,53320
36,13,35,4338663
36,14,0,3228617
36,14,1,1292564
36,14,2,487065
36,14,3,173861
36,14,4,59095
36,14,5,336293
36,14,6,75900
36,14,7,16670
36,14,8,3508
36,14,9,5885611
36,14,10,1796234
36,14,11,528883
36,14,12,148612
36,14,13,181599
36,14,14,124422
36,14,15,92619
36,14,16,56398
36,14,17,32611
36,14,18,17241
36,14,19,422304
36,14,20,100234
36,14,21,22666
36,14,22,6356714
36,14,23,3174250
36,14,24,1072266
36,14,25,356984
36,14,26,116973
36,14,27,37507
36,14,28,61918
36,14,29,13474
36,14,30,2835
36,14,31,558
36,14,32,1913367
36,14,33,501061
36,14,34,125975
36,14,35,30064
36,15,0,4953053
36,15,1,2362158
36,15,2,918135
36,15,3,336226
36,15,4,116864
36,15,5,38732
36,15,6,187678
36,15,7,42085
36,15,8,9020
36,15,9,1935
36,15,10,3758538
36,15,11,1128057
36,15,12,324730
36,15,13,88922
36,15,14,185099
36,15,15,145826
36,15,16,87247
36,15,17,51377
36,15,18,28151
36,15,19,995669
36,15,20,241054
36,15,21,55941
36,15,22,12450
36,15,23,6264966
36,15,24,2129908
36,15,25,714308
36,15,26,235868
36,15,27,76463
36,15,28,24053
36,15,29,34219
36,15,30,7274
36,15,31,1482
36,15,32,791230
36,15,33,1138468
36,15,34,292953
36,15,35,72186
36,16,0,40741
36,16,1,4290432
36,16,2,1702341
36,16,3,642256
36,16,4,228742
36,16,5,77668
36,16,6,25287
36,16,7,104638
36,16,8,23081
36,16,9,4907
36,16,10,7370487
36,16,11,2380692
36,16,12,700865
36,16,13,197113
36,16,14,279919
36,16,15,188548
36,16,16,135918
36,16,17,80464
36,16,18,45224
36,16,19,23464
36,16,20,572996
36,16,21,136331
36,16,22,31012
36,16,23,6849
36,16,24,4218246
36,16,25,1425264
36,16,26,474088
36,16,27,155150
36,16,28,49437
36,16,29,85444
36,16,30,18615
36,16,31,3873
36,16,32,804
36,16,33,2558908
36,16,34,672597
36,16,35,169713
36,17,0,97206
36,17,1,22686
36,17,2,3132635
36,17,3,1212282
36,17,4,442760
36,17,5,153939
36,17,6,51169
36,17,7,258169
36,17,8,58056
36,17,9,12544
36,17,10,2635
36,17,11,4980689
36,17,12,1494257
36,17,13,430636
36,17,14,118391
36,17,15,281856
36,17,16,188458
36,17,17,125857
36,17,18,71932
36,17,19,38527
36,17,20,836786
36,17,21,327237
36,17,22,76444
36,17,23,17179
36,17,24,8296059
36,17,25,2830757
36,17,26,949319
36,17,27,313092
36,17,28,101121
36,17,29,31773
36,17,30,47079
36,17,31,10077
36,17,32,2071
36,17,33,429
36,17,34,1525148
36,17,35,393969
36,18,0,228556
36,18,1,54897
36,18,2,5702483
36,18,3,2252043
36,18,4,847052
36,18,5,301688
36,18,6,102465
36,18,7,33457
36,18,8,144127
36,18,9,31781
36,18,10,6760
36,18,11,1465
36,18,12,3154533
36,18,13,929052
36,18,14,261916
36,18,15,70158
36,18,16,282413
36,18,17,197752
36,18,18,113898
36,18,19,62456
36,18,20,31684
36,18,21,776018
36,18,22,185694
36,18,23,42648
36,18,24,9326
36,18,25,5605135
36,18,26,1892171
36,18,27,629762
36,18,28,205675
36,18,29,65530
36,18,30,21624
36,18,31,25682
36,18,32,5396
36,18,33,1108
36,18,34,3341906
36,18,35,902313
36,19,0,529343
36,19,1,131302
36,19,2,30893
36,19,3,4152259
36,19,4,1595371
36,19,5,583829
36,19,6,202989
36,19,7,67589
36,19,8,317219
36,19,9,79920
36,19,10,17327
36,19,11,3677
36,19,12,6599128
36,19,13,1980612
36,19,14,571300
36,19,15,157955
36,19,16,424514
36,19,17,277348
36,19,18,179782
36,19,19,100478
36,19,20,52484
36,19,21,25184
36,19,22,444467
36,19,23,104634
36,19,24,23538
36,19,25,5108
36,19,26,3760442
36,19,27,1261527
36,19,28,415686
36,19,29,134229
36,19,30,42099
36,19,31,64908
36,19,32,13951
36,19,33,2938
36,19,34,559
36,19,35,2043088
36,20,0,1210311
36,20,1,307806
36,20,2,74676
36,20,3,1319054
36,20,4,2979148
36,20,5,1117941
36,20,6,397779
36,20,7,135493
36,20,8,44434
36,20,9,197942
36,20,10,44126
36,20,11,9409
36,20,12,2078
36,20,13,4180145
36,20,14,1230935
36,20,15,348522
36,20,16,93725
36,20,17,418726
36,20,18,266342
36,20,19,160554
36,20,20,85912
36,20,21,42666
36,20,22,1035136
36,20,23,252667
36,20,24,58536
36,20,25,12976
36,20,26,7445392
36,20,27,2514432
36,20,28,836121
36,20,29,272684
36,20,30,86854
36,20,31,26743
36,20,32,35622
36,20,33,7605
36,20,34,1537
36,20,35,267
36,21,0,2737113
36,21,1,711332
36,21,2,177385
36,21,3,42333
36,21,4,5504071
36,21,5,2107326
36,21,6,770536
36,21,7,267928
36,21,8,89475
36,21,9,29236
36,21,10,110202
36,21,11,24119
36,21,12,5190
36,21,13,1183
36,21,14,2623844
36,21,15,759361
36,21,16,210045
36,21,17,260303
36,21,18,404206
36,21,19,255545
36,21,20,139435
36,21,21,71317
36,21,22,33657
36,21,23,603596
36,21,24,143034
36,21,25,32489
36,21,26,7062
36,21,27,4996828
36,21,28,1674074
36,21,29,551352
36,21,30,177685
36,21,31,55671
36,21,32,88252
36,21,33,19433
36,21,34,4128
36,21,35,788
36,22,0,363
36,22,1,1622893
36,22,2,414680
36,22,3,101459
36,22,4,23703
36,22,5,3941549
36,22,6,1473622
36,22,7,524574
36,22,8,178822
36,22,9,59107
36,22,10,268719
36,22,11,60939
36,22,12,13235
36,22,13,2954
36,22,14,5539139
36,22,15,1634203
36,22,16,463332
36,22,17,125005
36,22,18,615369
36,22,19,379101
36,22,20,224824
36,22,21,117821
36,22,22,57413
36,22,23,25622
36,22,24,344335
36,22,25,80328
36,22,26,17867
36,22,27,4296514
36,22,28,3339962
36,22,29,1109527
36,22,30,361024
36,22,31,114841
36,22,32,35544
36,22,33,49340
36,22,34,10659
36,22,35,2170
36,23,0,1069
36,23,1,172
36,23,2,955249
36,23,3,239722
36,23,4,57569
36,23,5,6100160
36,23,6,2784966
36,23,7,1016626
36,23,8,353757
36,23,9,118649
36,23,10,39081
36,23,11,151632
36,23,12,33673
36,23,13,7419
36,23,14,1625
36,23,15,3481129
36,23,16,1008313
36,23,17,279555
36,23,18,73622
36,23,19,584135
36,23,20,360785
36,23,21,192816
36,23,22,96680
36,23,23,44663
36,23,24,820012
36,23,25,195020
36,23,26,44764
36,23,27,9709
36,23,28,6636156
36,23,29,2222178
36,23,30,730995
36,23,31,235453
36,23,32,73875
36,23,33,22260
36,23,34,26990
36,23,35,5663
36,24,0,2942
36,24,1,535
36,24,2,2175138
36,24,3,558472
36,24,4,137561
36,24,5,32595
36,24,6,5216723
36,24,7,1942683
36,24,8,692360
36,24,9,236720
36,24,10,78650
36,24,11,25827
36,24,12,84227
36,24,13,18641
36,24,14,4058
36,24,15,5002410
36,24,16,2168256
36,24,17,615891
36,24,18,166826
36,24,19,896531
36,24,20,540198
36,24,21,313192
36,24,22,160923
36,24,23,76788
36,24,24,33915
36,24,25,468185
36,24,26,109913
36,24,27,24666
36,24,28,5210
36,24,29,4434009
36,24,30,1472267
36,24,31,479350
36,24,32,152313
36,24,33,46797
36,24,34,68273
36,24,35,14664
36,25,0,7829
36,25,1,1527
36,25,2,307
36,25,3,1282699
36,25,4,323987
36,25,5,78506
36,25,6,18141
36,25,7,3682000
36,25,8,1342225
36,25,9,467739
36,25,10,157628
36,25,11,52032
36,25,12,208728
36,25,13,46602
36,25,14,10277
36,25,15,2206
36,25,16,4614382
36,25,17,1337947
36,25,18,372092
36,25,19,98400
36,25,20,838719
36,25,21,484914
36,25,22,265243
36,25,23,130554
36,25,24,59497
36,25,25,94906
36,25,26,266161
36,25,27,61398
36,25,28,13453
36,25,29,8266251
36,25,30,2948665
36,25,31,969896
36,25,32,312197
36,25,33,97548
36,25,34,29442
36,25,35,37524
36,26,0,20371
36,26,1,4140
36,26,2,823
36,26,3,2631828
36,26,4,751729
36,26,5,186346
36,26,6,44330
36,26,7,6907231
36,26,8,2566114
36,26,9,914640
36,26,10,313483
36,26,11,104679
36,26,12,34277
36,26,13,115858
36,26,14,25928
36,26,15,5625
36,26,16,1233
36,26,17,2875813
36,26,18,818126
36,26,19,222543
36,26,20,57319
36,26,21,764700
36,26,22,433928
36,26,23,219045
36,26,24,102926
36,26,25,44986
36,26,26,637383
36,26,27,149998
36,26,28,33973
36,26,29,7282
36,26,30,5886411
36,26,31,1952653
36,26,32,635578
36,26,33,201803
36,26,34,61858
36,26,35,18290
36,27,0,51809
36,27,1,10902
36,27,2,2189
36,27,3,505
36,27,4,1724454
36,27,5,436595
36,27,6,106762
36,27,7,24927
36,27,8,4868389
36,27,9,1767645
36,27,10,618476
36,27,11,208939
36,27,12,69207
36,27,13,74307
36,27,14,64377
36,27,15,14310
36,27,16,3056
36,27,17,5935617
36,27,18,1776546
36,27,19,495626
36,27,20,131562
36,27,21,1196966
36,27,22,677257
36,27,23,363875
36,27,24,175961
36,27,25,79307
36,27,26,33077
36,27,27,362475
36,27,28,83751
36,27,29,18485
36,27,30,3852
36,27,31,3915017
36,27,32,1286622
36,27,33,414071
36,27,34,128948
36,27,35,38844
36,28,0,24222
36,28,1,28297
36,28,2,5819
36,28,3,1233
36,28,4,419
36,28,5,1011755
36,28,6,252368
36,28,7,60533
36,28,8,13881
36,28,9,3389634
36,28,10,1209541
36,28,11,414954
36,28,12,139016
36,28,13,45672
36,28,14,159630
36,28,15,35771
36,28,16,7791
36,28,17,1703
36,28,18,3816271
36,28,19,1088056
36,28,20,296909
36,28,21,77131
36,28,22,1076461
36,28,23,583389
36,28,24,297455
36,28,25,137943
36,28,26,59497
36,28,27,844798
36,28,28,204607
36,28,29,46368
36,28,30,10033
36,28,31,7814926
36,28,32,2590787
36,28,33,843005
36,28,34,266875
36,28,35,81815
36,29,0,51611
36,29,1,52000
36,29,2,15211
36,29,3,3155
36,29,4,813
36,29,5,2315332
36,29,6,589239
36,29,7,144720
36,29,8,34046
36,29,9,6438159
36,29,10,2336739
36,29,11,817957
36,29,12,277406
36,29,13,92104
36,29,14,30346
36,29,15,88983
36,29,16,19723
36,29,17,4286
36,29,18,942
36,29,19,2360218
36,29,20,659582
36,29,21,176130
36,29,22,524250
36,29,23,942066
36,29,24,497676
36,29,25,237149
36,29,26,105573
36,29,27,43625
36,29,28,492861
36,29,29,114449
36,29,30,25431
36,29,31,5324
36,29,32,5196807
36,29,33,1706103
36,29,34,548273
36,29,35,170852
36,30,0,108671
36,30,1,32111
36,30,2,39331
36,30,3,8182
36,30,4,1867
36,30,5,775
36,30,6,1361241
36,30,7,340885
36,30,8,82195
36,30,9,19189
36,30,10,4482239
36,30,11,1595414
36,30,12,549711
36,30,13,184701
36,30,14,61106
36,30,15,218139
36,30,16,49276
36,30,17,10797
36,30,18,2336
36,30,19,5064922
36,30,20,1446297
36,30,21,395847
36,30,22,103018
36,30,23,1507910
36,30,24,802721
36,30,25,402875
36,30,26,184522
36,30,27,78907
36,30,28,31241
36,30,29,278767
36,30,30,63538
36,30,31,13749
36,30,32,18232
36,30,33,3438590
36,30,34,1117714
36,30,35,353507
36,31,0,226404
36,31,1,68343
36,31,2,19768
36,31,3,21241
36,31,4,4568
36,31,5,1385
36,31,6,937
36,31,7,794028
36,31,8,195866
36,31,9,46569
36,31,10,5167340
36,31,11,3089690
36,31,12,1082491
36,31,13,367883
36,31,14,122722
36,31,15,40623
36,31,16,122871
36,31,17,27218
36,31,18,5921
36,31,19,1318
36,31,20,3134644
36,31,21,877966
36,31,22,234927
36,31,23,59852
36,31,24,1305086
36,31,25,676889
36,31,26,318643
36,31,27,140503
36,31,28,57562
36,31,29,670994
36,31,30,156221
36,31,31,34957
36,31,32,7378
36,31,33,6896056
36,31,34,2262905
36,31,35,726346
36,32,0,468236
36,32,1,143713
36,32,2,42544
36,32,3,53906
36,32,4,11644
36,32,5,2934
36,32,6,1393
36,32,7,1830171
36,32,8,460948
36,32,9,111773
36,32,10,26174
36,32,11,5929686
36,32,12,2109891
36,32,13,728268
36,32,14,245336
36,32,15,81520
36,32,16,27180
36,32,17,68181
36,32,18,15010
36,32,19,3314
36,32,20,697414
36,32,21,1923246
36,32,22,527981
36,32,23,138504
36,32,24,1668701
36,32,25,1100475
36,32,26,544456
36,32,27,246850
36,32,28,104460
36,32,29,41081
36,32,30,379436
36,32,31,87059
36,32,32,19109
36,32,33,3988
36,32,34,4561208
36,32,35,1480586
36,33,0,962019
36,33,1,299593
36,33,2,90488
36,33,3,26327
36,33,4,29781
36,33,5,6809
36,33,6,2380
36,33,7,1689
36,33,8,1070362
36,33,9,265223
36,33,10,63345
36,33,11,14735
36,33,12,4086091
36,33,13,1432681
36,33,14,488091
36,33,15,163438
36,33,16,54416
36,33,17,169060
36,33,18,37775
36,33,19,8290
36,33,20,1841
36,33,21,4165423
36,33,22,1168758
36,33,23,314895
36,33,24,80455
36,33,25,1801725
36,33,26,904646
36,33,27,428390
36,33,28,186828
36,33,29,76014
36,33,30,28567
36,33,31,213591
36,33,32,48066
36,33,33,10338
36,33,34,8006091
36,33,35,3000132
36,34,0,1961947
36,34,1,620250
36,34,2,190044
36,34,3,56329
36,34,4,16315
36,34,5,16719
36,34,6,4659
36,34,7,2482
36,34,8,981683
36,34,9,622110
36,34,10,151790
36,34,11,35821
36,34,12,7003704
36,34,13,2792587
36,34,14,965611
36,34,15,325889
36,34,16,108805
36,34,17,36284
36,34,18,94241
36,34,19,20791
36,34,20,4595
36,34,21,1007
36,34,22,2557256
36,34,23,704390
36,34,24,185346
36,34,25,46570
36,34,26,1505393
36,34,27,735570
36,34,28,329533
36,34,29,138261
36,34,30,53889
36,34,31,517063
36,34,32,119106
36,34,33,26325
36,34,34,5482
36,34,35,6050263
36,35,0,3979334
36,35,1,1274957
36,35,2,396486
36,35,3,119374
36,35,4,35039
36,35,5,42014
36,35,6,10197
36,35,7,4071
36,35,8,2865
36,35,9,1442362
36,35,10,358888
36,35,11,86420
36,35,12,20098
36,35,13,5408851
36,35,14,1894939
36,35,15,647681
36,35,16,217350
36,35,17,72573
36,35,18,24238
36,35,19,52191
36,35,20,11465
36,35,21,2557
36,35,22,5368169
36,35,23,1556910
36,35,24,420106
36,35,25,108373
36,35,26,2479606
36,35,27,1228144
36,35,28,574431
36,35,29,248122
36,35,30,100022
36,35,31,37433
36,35,32,291402
36,35,33,66033
36,35,34,14176
36,35,35,2961
